nombre,identificacion,tipo_vivienda
Aldo Yuridia Serrato,90957941,apartamento
Maximiliano Carla Candelaria Marrero,94275929,finca
Gilberto Maestas Rentería,34812854,apartamento
Noelia María Elena Lozano Carbajal,89989302,finca
Roberto Pamela Alemán Delgado,94575779,finca
Cecilia Laura Gálvez Marroquín,70729411,apartamento
Hugo Alonso Quesada Téllez,98333110,aparta estudio
Mtro. María Hidalgo,65716495,otro
Marisol Burgos Badillo,14906335,aparta estudio
Lorena Fidel Navarro Alva,62933147,apartamento
Dr. Leticia Zepeda,94161447,aparta estudio
Bianca Soledad Alarcón,94472155,finca
Norma Villa,14807350,casa
Oswaldo Miguel Garrido,14071678,casa
Isabel Concepción,84792336,casa
Mayte Zedillo,12109838,finca
Silvia Botello,12990198,casa
Lorenzo Garrido Macías,96333689,finca
Rosario Ana María Zaragoza,94538460,casa
Lucas Andrés Laboy,29559487,apartamento
Amanda Sandra Cornejo,66134776,casa
Rodolfo Rolando Ybarra Casares,31128600,finca
Berta Martha Barela,71309432,casa
Leticia Henríquez,21035764,apartamento
Sr(a). Mariana Téllez,12805983,finca
Florencia Karina Quiroz Ontiveros,55441045,apartamento
Olivia Campos,38297428,aparta estudio
Georgina Piña,86230793,finca
Mtro. Renato Camarillo,13653829,apartamento
Mtro. Claudia Alejandro,87002444,finca
Guadalupe Elena Hernández,87238985,otro
Blanca Antonio Mendoza,29405862,apartamento
Dr. Verónica Valles,46365601,otro
Dr. Patricio Escobedo,60782194,otro
Liliana Alcala Escobar,73256072,otro
Elvia Montero,98125430,casa
Sr(a). Paola Gollum,10041220,finca
Camilo Jonás Estrada Haro,19052811,apartamento
Rufino Humberto Hinojosa Cazares,46646568,otro
Nayeli Isabel Montes Olmos,26333311,finca
Lic. Martha Flórez,32512784,apartamento
Sr(a). Isabela Serrano,35287882,otro
Marisela Noelia Miramontes Salas,15056828,aparta estudio
Indira Porfirio Linares Collazo,66885247,aparta estudio
Mtro. Aida Vanegas,18131163,casa
Andrés Laureano Villagómez,32819324,aparta estudio
Adela Alba,77564007,finca
Débora Colunga,20732709,finca
Victoria Arteaga Ayala,12189163,otro
Olga Carranza,24849001,casa
Jacobo Adela Serna,35452213,aparta estudio
Lic. Guadalupe López,81570047,apartamento
Jaqueline Salcedo,16386990,aparta estudio
Ana Mercado Lugo,50863605,finca
Andrés Adela Tamayo Olvera,20901321,apartamento
Oswaldo Frida Godínez de la Garza,54675021,apartamento
Dr. Florencia Rangel,73324963,finca
Asunción Arcelia Patiño,39775548,apartamento
Abelardo Ana María Gastélum,50872302,casa
Marcela Rosario Soria,51043995,aparta estudio
Violeta Ana Pizarro Rodrígez,48040111,casa
Irma Parra de la Rosa,22967669,finca
Agustín Cecilia Rosas,93230689,finca
Eugenio Villarreal Vaca,29224071,otro
Felix Nayeli Velásquez,67592087,otro
José Eduardo Galindo Mares,94553590,finca
Manuel Liliana Gil,95038214,casa
Hermelinda Verduzco Casanova,23689573,otro
Nicolás Palomo,28559949,casa
Alberto Linda Centeno,69102435,otro
Ing. Bruno Zamora,98361743,otro
Raúl Gilberto Tello Colunga,82137391,finca
María Cristina Nieto Amaya,80683069,apartamento
Paola Germán Cisneros,47094008,finca
Anel Madrigal Pabón,99520249,casa
René Mariano Salcido Segura,95093144,apartamento
Blanca Carrión Toro,76262325,otro
Hermelinda Verónica Sisneros,19074466,aparta estudio
Laura Godínez Feliciano,50578013,casa
Ing. Hugo Casárez,52605190,aparta estudio
Alta  Gracia Camila Laboy,95710367,otro
Francisca Aldo Arevalo Sisneros,41103492,finca
Dr. Rolando Tejada,43489581,apartamento
Mateo Cristian Patiño Pedroza,18576999,apartamento
Vicente Tovar,14081215,otro
Julia Jacinto Bahena,74568804,aparta estudio
Esteban Leticia Sevilla,83457906,casa
Linda Yolanda Moreno,81836670,apartamento
Bruno Sofía Montez,70016006,casa
Sessa Reyna Delgadillo,34402496,aparta estudio
Olga Ramón Garza Medina,86741429,casa
Esperanza Conchita Sandoval Salinas,90391347,otro
Serafín Ana Nevárez Romo,84571865,finca
Lic. Modesto Galarza,71057296,apartamento
Fidel Vázquez Oquendo,77431601,apartamento
Angélica Zamudio,48416885,apartamento
Olivia Aldonza Gamez Rodríquez,73150690,aparta estudio
Sonia Ferrer Chávez,87274019,casa
Timoteo Burgos Vanegas,14217238,aparta estudio
Karina Jorge Malave Rosas,73131868,finca
Adriana Cruz Covarrubias,78992525,otro
Ricardo Rebeca Garibay Alcala,31837136,apartamento
Mauricio Clemente Portillo Arellano,94714275,aparta estudio
Aldonza Antonia Jurado Rivero,14536425,apartamento
Lic. Marcela Quezada,36115873,casa
Anel Débora Vaca Mondragón,41244513,apartamento
Elsa Wilfrido Sánchez Puente,13880408,otro
Darío Guillermina Ayala Amador,56993804,otro
Julia Nelly Páez,43730936,otro
Guillermo Augusto Delgado Gallardo,65083987,apartamento
Cristal Fidel Muro,98352933,finca
Esperanza Malave,96155912,apartamento
Armando Araceli Sarabia Alejandro,94494328,apartamento
Antonio Andrea Chávez,79897245,apartamento
Alvaro Sanabria Roybal,27409934,casa
Cornelio Andrea Roybal Carrasco,91293771,casa
Dulce María Bustamante Mateo,73645835,otro
Bianca Olga Rocha,34036119,apartamento
Delia Horacio Corrales Zedillo,84003407,aparta estudio
Alvaro Blanca Barrera,26130532,finca
Cecilia Aguirre Núñez,31339782,aparta estudio
Camilo Badillo Guillen,61369749,finca
