nombre,edad,ocupacion,estado_civil,nivel_educativo,deudas,incumplimiento,balance,hipotecario,tarjeta_credito,medio_contacto,mes_ultimo_contacto,dia_ultimo_contacto,duracion_ultimo_contacto,contactos_realizados,resultado_ultima_campana,prestamo_personal
Aldo Yuridia Serrato,68,desempleado,casado,ninguno,si,no,381582,si,no,telefono fijo,jun,4,704,760,exitoso,no
Maximiliano Carla Candelaria Marrero,43,estudiante,viudo,universitaria,si,si,283780,si,si,,dic,4,949,529,,si
Gilberto Maestas Rentería,553,otro,viudo,tecnica,si,no,232846,no,no,celular,jun,3,372,277,fracaso,ninguno
Noelia María Elena Lozano Carbajal,123,jubilado,casado,universitaria,si,no,528421,si,no,otro,ene,20,542,274,fracaso,no
Roberto Pamela Alemán Delgado,697,desempleado,casado,posgrado,no,si,100525,no,no,telefono fijo,oct,26,649,334,inexistente,no
Cecilia Laura Gálvez Marroquín,462,otro,soltero,maestria,no,si,929702,no,si,telefono fijo,dic,11,573,84,,ninguno
Hugo Alonso Quesada Téllez,512,,casado,secundaria,no,si,702906,si,si,,mar,18,465,865,otro,no
Mtro. María Hidalgo,58,estudiante,casado,tecnologia,si,si,144124,si,no,,oct,4,374,789,,si
Marisol Burgos Badillo,183,desempleado,viudo,posgrado,si,no,110836,no,no,celular,mar,28,602,885,,ninguno
Lorena Fidel Navarro Alva,271,desconocido,soltero,tecnica,si,no,800027,no,no,celular,mar,28,927,279,fracaso,si
Dr. Leticia Zepeda,419,obrero,divorciado,tecnologia,no,si,432711,si,no,celular,feb,5,976,930,inexistente,si
Bianca Soledad Alarcón,392,técnico,soltero,doctorado,no,si,933107,no,si,,jul,24,453,625,otro,ninguno
Norma Villa,214,jubilado,casado,ninguno,no,no,387574,si,no,celular,abr,2,553,41,otro,ninguno
Oswaldo Miguel Garrido,627,estudiante,casado,otro,no,si,511034,si,no,,jun,31,207,113,inexistente,no
Isabel Concepción,90,obrero,viudo,maestria,no,no,767346,si,no,celular,jul,14,347,480,exitoso,ninguno
Mayte Zedillo,332,técnico,casado,otro,si,si,711704,si,no,,oct,28,699,825,otro,no
Silvia Botello,83,independiente,divorciado,universitaria,no,no,382476,si,si,celular,dic,9,145,808,exitoso,ninguno
Lorenzo Garrido Macías,84,admin,casado,tecnologia,si,no,114593,si,no,celular,dic,10,617,135,otro,ninguno
Rosario Ana María Zaragoza,20,estudiante,divorciado,primaria,si,no,279422,si,si,,mar,13,788,893,,no
Lucas Andrés Laboy,85,jubilado,soltero,ninguno,si,si,402623,no,no,celular,ago,4,740,860,otro,no
Amanda Sandra Cornejo,24,servicios,soltero,ninguno,no,no,374832,si,no,otro,jul,7,454,412,,ninguno
Rodolfo Rolando Ybarra Casares,700,admin,casado,otro,no,si,445926,no,no,telefono fijo,may,29,164,570,otro,no
Berta Martha Barela,74,desempleado,viudo,tecnologia,no,no,303222,si,si,,abr,2,837,430,otro,si
Leticia Henríquez,450,obrero,viudo,posgrado,no,no,889944,si,no,telefono fijo,may,9,411,484,exitoso,si
