nombre,edad,ocupacion,estado_civil,nivel_educativo,deudas,incumplimiento,balance,hipotecario,tarjeta_credito,medio_contacto,mes_ultimo_contacto,dia_ultimo_contacto,duracion_ultimo_contacto,contactos_realizados,resultado_ultima_campana,prestamo_personal,identificacion,tipo_vivienda
Aldo Yuridia Serrato,68,desempleado,casado,ninguno,si,no,381582,si,no,telefono fijo,jun,4,704,760,exitoso,no,90957941,apartamento
Maximiliano Carla Candelaria Marrero,43,estudiante,viudo,universitaria,si,si,283780,si,si,telefono fijo,dic,4,949,529,fracaso,si,94275929,finca
Gilberto Maestas Rentería,58,otro,viudo,tecnica,si,no,232846,no,no,celular,jun,3,372,277,fracaso,ninguno,34812854,apartamento
Noelia María Elena Lozano Carbajal,46,jubilado,casado,universitaria,si,no,528421,si,no,otro,ene,20,542,274,fracaso,no,89989302,finca
Roberto Pamela Alemán Delgado,73,desempleado,viudo,doctorado,no,si,100525,no,no,telefono fijo,oct,26,649,334,inexistente,no,94575779,finca
Cecilia Laura Gálvez Marroquín,68,otro,soltero,maestria,no,si,929702,no,si,telefono fijo,dic,11,573,84,exitoso,ninguno,70729411,apartamento
Hugo Alonso Quesada Téllez,68,desempleado,casado,secundaria,no,si,702906,si,si,celular,mar,18,465,865,otro,no,98333110,aparta estudio
Mtro. María Hidalgo,58,estudiante,divorciado,maestria,si,si,144124,si,no,telefono fijo,oct,4,374,789,inexistente,si,65716495,otro
Marisol Burgos Badillo,37,desempleado,divorciado,doctorado,si,no,110836,no,no,celular,mar,28,602,885,fracaso,ninguno,14906335,aparta estudio
Lorena Fidel Navarro Alva,59,desconocido,soltero,tecnica,si,no,800027,no,no,celular,mar,28,927,279,fracaso,si,62933147,apartamento
Dr. Leticia Zepeda,52,obrero,viudo,tecnologia,no,si,432711,si,no,celular,feb,5,976,930,inexistente,si,94161447,aparta estudio
Bianca Soledad Alarcón,42,técnico,soltero,doctorado,no,si,933107,no,si,celular,jul,24,453,625,otro,ninguno,94472155,finca
Norma Villa,57,jubilado,casado,ninguno,no,no,387574,si,no,celular,abr,2,553,41,otro,ninguno,14807350,casa
Oswaldo Miguel Garrido,54,estudiante,casado,otro,no,si,511034,si,no,telefono fijo,jun,31,207,113,inexistente,no,14071678,casa
Isabel Concepción,90,obrero,casado,maestria,no,no,767346,si,no,celular,jul,14,347,480,exitoso,ninguno,84792336,casa
Mayte Zedillo,71,técnico,casado,otro,si,si,711704,si,no,telefono fijo,oct,28,699,825,otro,no,12109838,finca
Silvia Botello,83,independiente,divorciado,universitaria,no,no,382476,si,si,celular,dic,9,145,808,exitoso,ninguno,12990198,casa
Lorenzo Garrido Macías,84,admin,casado,primaria,si,no,114593,si,no,celular,dic,10,617,135,otro,ninguno,96333689,finca
Rosario Ana María Zaragoza,20,estudiante,divorciado,primaria,si,no,279422,si,si,telefono fijo,mar,13,788,893,otro,no,94538460,casa
Lucas Andrés Laboy,85,jubilado,viudo,ninguno,si,si,402623,no,no,celular,ago,4,740,860,otro,no,29559487,apartamento
Amanda Sandra Cornejo,24,servicios,casado,ninguno,no,no,374832,si,no,otro,jul,7,454,412,,ninguno,66134776,casa
Rodolfo Rolando Ybarra Casares,40,admin,soltero,otro,no,si,445926,no,no,telefono fijo,may,29,164,570,otro,no,31128600,finca
Berta Martha Barela,74,desempleado,viudo,tecnologia,no,no,303222,si,si,celular,abr,2,837,430,otro,si,71309432,casa
Leticia Henríquez,38,obrero,casado,posgrado,no,no,889944,si,no,telefono fijo,may,9,411,484,exitoso,si,21035764,apartamento
Sr(a). Mariana Téllez,68,servicios,viudo,otro,no,no,968448,si,si,telefono fijo,dic,22,186,866,fracaso,si,12805983,finca
Florencia Karina Quiroz Ontiveros,42,servicios,casado,ninguno,no,si,600911,si,no,otro,feb,31,866,475,inexistente,ninguno,55441045,apartamento
Olivia Campos,55,gerente,divorciado,otro,si,no,445963,si,no,celular,may,28,289,951,exitoso,ninguno,38297428,aparta estudio
Georgina Piña,39,técnico,divorciado,posgrado,si,no,744146,si,si,telefono fijo,sep,13,961,286,otro,si,86230793,finca
Mtro. Renato Camarillo,25,estudiante,viudo,tecnologia,si,no,282528,si,no,telefono fijo,feb,18,695,888,fracaso,si,13653829,apartamento
Mtro. Claudia Alejandro,56,servicios,casado,secundaria,si,no,471104,no,si,telefono fijo,oct,20,793,121,inexistente,ninguno,87002444,finca
Guadalupe Elena Hernández,79,gerente,soltero,doctorado,si,no,291076,si,si,telefono fijo,ago,22,79,341,fracaso,no,87238985,otro
Blanca Antonio Mendoza,52,obrero,soltero,primaria,no,no,359897,si,no,celular,dic,1,917,15,inexistente,no,29405862,apartamento
Dr. Verónica Valles,55,jubilado,casado,doctorado,si,si,852974,no,si,telefono fijo,sep,18,892,507,fracaso,no,46365601,otro
